bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,11972127.0,0.027699983806508,0.05990481056540747
0.06666666666666667,0.13333333333333333,3131852.0,0.09552145124217727,0.10599574947986048
0.13333333333333333,0.2,1716868.0,0.16433448729892025,0.13487757940622108
0.2,0.26666666666666666,1249261.0,0.23193209564713133,0.15390859075885663
0.26666666666666666,0.3333333333333333,1034095.0,0.299256244470838,0.16820794994657165
0.3333333333333333,0.4,935194.0,0.3662176368890894,0.18496696942024862
0.4,0.4666666666666667,876972.0,0.4330861519576617,0.20204179836984534
0.4666666666666667,0.5333333333333333,859967.0,0.49993484839651037,0.21677692283541114
0.5333333333333333,0.6,863131.0,0.5667972342018278,0.2273142779021956
0.6,0.6666666666666666,906882.0,0.6336304644785008,0.2324933122501053
0.6666666666666666,0.7333333333333333,977254.0,0.7005204551326095,0.24380355567743903
0.7333333333333333,0.8,1103989.0,0.7675959360724786,0.2604002394951399
0.8,0.8666666666666667,1397529.0,0.8350521610574414,0.2827655096960421
0.8666666666666667,0.9333333333333333,2140886.0,0.9034445372801984,0.33238201380176247
0.9333333333333333,1.0,16805085.0,0.9878877921238284,0.6772080593463229
