case,dice,mean_conf_pred,max_prob,pred_vol_ml,arch,cohort
BLITS_020,0.0,0.6894767880439758,0.9433475732803344,8728.0,resenc,lits
BLITS_021,0.0035,0.8643791079521179,0.9976993203163148,411665.0,resenc,lits
BLITS_022,0.0,0.0,0.3268620371818542,0.0,resenc,lits
BLITS_023,0.7619,0.9484237432479858,0.9999572038650512,81185.0,resenc,lits
BLITS_024,0.6656,0.9341410398483276,0.9999912977218628,412128.0,resenc,lits
BLITS_025,0.8327,0.9332462549209596,0.9999927282333374,72181.0,resenc,lits
BLITS_026,0.0,0.0,0.0838153660297393,0.0,resenc,lits
BLITS_027,0.0,0.0,0.002107472391799,0.0,resenc,lits
BLITS_028,0.0,0.7284353971481323,0.964855134487152,12274.0,resenc,lits
BLITS_029,0.7539,0.9294230341911316,0.9999953508377076,425360.0,resenc,lits
BLITS_030,0.8283,0.9553072452545166,0.9999862909317015,2356781.0,resenc,lits
BLITS_031,0.2721,0.7558505535125732,0.965963900089264,3872.0,resenc,lits
BLITS_032,0.8626,0.9515520334243774,0.999864935874939,1656916.0,resenc,lits
BLITS_033,0.0,0.6769419312477112,0.8994751572608948,79526.0,resenc,lits
BLITS_034,0.0,0.0,0.1153115779161453,0.0,resenc,lits
BLITS_035,0.7192,0.9539943933486938,0.9999887943267822,559645.0,resenc,lits
BLITS_036,0.5756,0.9075658321380616,0.9999997615814208,59637.0,resenc,lits
BLITS_037,0.5416,0.9458520412445068,0.9999988079071044,9792.0,resenc,lits
BLITS_038,0.289,0.93147075176239,0.9999849796295166,88229.0,resenc,lits
BLITS_039,0.1241,0.6043747663497925,0.8497219681739807,4005.0,resenc,lits
BLITS_040,0.4181,0.8383565545082092,0.995085060596466,1278.0,resenc,lits
BLITS_041,0.0719,0.9338552355766296,0.9996929168701172,592480.0,resenc,lits
BLITS_042,0.3316,0.9244816899299622,0.9994460940361024,47293.0,resenc,lits
BLITS_043,0.1965,0.8883640170097351,0.9987744688987732,63361.0,resenc,lits
BLITS_044,0.0,0.0,0.0024726232513785,0.0,resenc,lits
BLITS_045,0.0,0.0,0.0028560124337673,0.0,resenc,lits
BLITS_046,0.6278,0.8769237399101257,0.9994296431541444,56404.0,resenc,lits
BLITS_047,0.6364,0.921272337436676,0.9997219443321228,367952.0,resenc,lits
BLITS_048,0.7038,0.9126660227775574,0.9994887113571168,124123.0,resenc,lits
BLITS_049,0.0,0.0,0.1052105352282524,0.0,resenc,lits
BLITS_050,0.0,0.0,0.17050801217556,0.0,resenc,lits
BLITS_051,0.0,0.0,0.3561107218265533,0.0,resenc,lits
BLITS_052,0.1684,0.7833378911018372,0.9785287380218506,794.0,resenc,lits
