cohort,case,resenc,umamba,swin,resenc+umamba,resenc+swin,umamba+swin,resenc+umamba+swin
ircadb,BIRCAD_001,0.8197874185989307,0.8453600323831874,0.7850279441618004,0.8326252790870752,0.8092736945977413,0.8263242956699378,0.8181908387777378
ircadb,BIRCAD_002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ircadb,BIRCAD_003,0.0,0.0,0.027734194049700393,0.0,0.0,0.0,0.0
ircadb,BIRCAD_004,0.15864376027669105,0.21887788778877887,0.06312696321815787,0.22783478032096816,0.05260203672520247,0.04183288409703504,0.1117210825387653
ircadb,BIRCAD_005,0.49005994117616725,0.5869568374227339,0.6651156779113352,0.533837884901964,0.5926276141894392,0.6642145802478817,0.5953128991060026
ircadb,BIRCAD_006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ircadb,BIRCAD_007,0.8557483286165457,0.6933394852189961,0.5286801445153355,0.8145373675893954,0.8065752770775221,0.6515027322404372,0.7359824243003152
ircadb,BIRCAD_008,0.47989472145050444,0.4496053888302418,0.3606566085847854,0.4552667032583204,0.5152729785763649,0.45136367867448574,0.47409062211645864
ircadb,BIRCAD_009,0.0,0.0031013252157194846,0.06759836458953453,2.8654034058184882e-05,0.0,0.009388760866093226,0.0023068843037416745
ircadb,BIRCAD_010,0.5838294886016345,0.6665477397948002,0.6162736500483359,0.6307687332233757,0.6453103841307519,0.6804375773158368,0.6498178744011773
ircadb,BIRCAD_011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ircadb,BIRCAD_012,0.0,0.0,6.792646423984477e-05,0.0,0.0,0.0,0.0
ircadb,BIRCAD_013,0.4574642897055841,0.5900069752927788,0.6614977646047483,0.5022835806544662,0.4914021377595505,0.6133605288663224,0.5570960481389047
ircadb,BIRCAD_014,0.0,0.0,0.015698198198198197,0.0,0.031686470710860955,0.05437424058323208,0.0
ircadb,BIRCAD_015,0.050094161958568736,0.028466701575665256,0.0343329808128116,0.03659808476343984,0.010185452099548381,0.004240555127216654,0.009085446460761927
lits,BLITS_001,0.0,0.0,0.008518475883504087,0.0,0.0,0.0,0.0
lits,BLITS_002,0.29892298313350946,0.314664386489953,0.10182037918271773,0.276271735608597,0.3206262763784888,0.3646103335061344,0.2954905481043405
lits,BLITS_003,0.6604206738226717,0.5406423758749264,0.2379157529239766,0.6799514366653177,0.6051608034366655,0.49337065060126656,0.5801550128248021
lits,BLITS_004,0.8155504785362327,0.7922671654642571,0.6963291644894991,0.8043364765685,0.7872241870844572,0.7752264858109925,0.7904345414661313
lits,BLITS_005,0.3700468804077652,0.35000278347557606,0.39532099777007695,0.4900870719851039,0.48972915710827375,0.5057572734141635,0.48497063991364886
lits,BLITS_006,0.8617152236356176,0.8531944632309842,0.18370990019023792,0.8732185337960234,0.852326623500861,0.8628493000274499,0.878888494890558
lits,BLITS_007,0.8441164719983079,0.6668271734751035,0.5255816764368163,0.768353418084549,0.8327311155688585,0.7275687924526153,0.8329514417172291
lits,BLITS_008,0.0,0.0,8.580773127658802e-05,0.0,0.0,0.0,0.0
lits,BLITS_009,0.5316767997180368,0.49469806898091306,0.39329594858547035,0.5314320144607351,0.5336805555555556,0.5340149429807314,0.5481159694022099
lits,BLITS_010,0.4402104125925712,0.40779956144182467,0.38283091122843954,0.4411730087594004,0.434139149711547,0.4059107474618819,0.4295811303625472
lits,BLITS_011,0.005504511782667634,0.057352804637035265,0.012444334103992427,0.024755294053848867,0.03528413010028121,0.05823629447884618,0.03918071840189515
lits,BLITS_012,0.16549670282918527,0.0,0.012447618531227488,0.08217434778656486,0.23759958879465434,0.0,0.22323063450362232
lits,BLITS_013,0.6568979561611374,0.6534398076093229,0.5497334421977811,0.6507890545823078,0.6291591721793183,0.6355994266997946,0.653482206962573
lits,BLITS_014,0.1273699562469616,0.24444897127724588,0.02772401229648184,0.19837976684449712,0.22993630573248408,0.15454492517323706,0.16727137408130988
lits,BLITS_015,0.0,0.0,0.04526644709061735,0.0,0.0,0.0,0.0
lits,BLITS_016,0.3436173853524983,0.5871185866741446,0.3002864366870657,0.5959669051389875,0.5639255088096857,0.5444201355654094,0.5912943718604159
lits,BLITS_017,0.04405213027447767,0.00014725685030686692,0.1613316124171381,0.012843815946491687,0.04628130349787168,0.020342947103478545,0.0179127713227007
lits,BLITS_018,0.4770085901970692,0.5024153271602795,0.3594612995978396,0.49281499464602635,0.4151112675324975,0.44331946421005747,0.4618633319770113
lits,BLITS_019,0.8641921499342325,0.8468179054534792,0.7632207195085383,0.8591070877504335,0.8436248384753358,0.82599044358328,0.8463218319086542
lits,BLITS_020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_021,0.003506869818851704,2.7925979399004998e-06,0.0003034655768880617,0.0004996668887408394,0.0010841259121903183,0.0,5.351150115049728e-05
lits,BLITS_022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_023,0.7618952965438418,0.7356226776230675,0.28015786893931455,0.7538662149481458,0.7651808514076995,0.7422059126912185,0.7544728959559439
lits,BLITS_024,0.6656245754467276,0.682376029327493,0.48912976782429124,0.6790188039467174,0.6590481194448093,0.6562510295337672,0.6722844126864426
lits,BLITS_025,0.8327407068543664,0.7876449540888908,0.5985152176493685,0.8253036167089284,0.8106242516216199,0.7994549083836626,0.8287395353528562
lits,BLITS_026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_029,0.7539382880732213,0.7133635872147316,0.2635452045198622,0.7219860995120335,0.713753276192255,0.6469122348154607,0.7194562984036669
lits,BLITS_030,0.8283228244916403,0.7410727330429268,0.5051834015090897,0.8046716261520258,0.760940716583497,0.6727159019660943,0.7595641658182406
lits,BLITS_031,0.27213603168259276,0.0,0.014110551267095237,0.0,0.00025097251850922326,0.0,0.0
lits,BLITS_032,0.8626116881886781,0.8606149698273934,0.798725474650532,0.870592153480689,0.8452014742431596,0.8441115414799625,0.8528421921549881
lits,BLITS_033,0.0,0.6447731260967661,0.03192375109553024,0.0,0.006867607783288821,0.6267455621301775,0.3793103448275862
lits,BLITS_034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_035,0.7191935392225497,0.7417632269580222,0.6564669416313687,0.7392421370687929,0.713138306799776,0.7184827065675264,0.7226863776360214
lits,BLITS_036,0.5756271001818873,0.5610534222968494,0.25000482024348014,0.5751446721079716,0.7053898724516345,0.7012175742764145,0.6077320333992954
lits,BLITS_037,0.5416458354164584,0.6302638476323607,0.24109447599380485,0.5956719817767654,0.5224688187820983,0.5673825618208266,0.5620034381824095
lits,BLITS_038,0.2889552909879446,0.23690213291892728,0.06307384436620768,0.27448306778489645,0.25352281688209277,0.2134597250483895,0.24422810458692484
lits,BLITS_039,0.1239523599470666,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_040,0.4180522565320665,0.0,0.002346248079398696,0.0,0.4293116210214656,0.0,0.10385259631490787
lits,BLITS_041,0.07193626729818323,0.06579630384183881,0.0816878304915695,0.0712668037269909,0.07656284278550415,0.07253800333021847,0.07269436212312115
lits,BLITS_042,0.33164659625861737,0.33213505321773457,0.2791364157432174,0.3334100281410948,0.3356888562892463,0.33174068654242844,0.3331447963800905
lits,BLITS_043,0.19650872817955112,0.3715238466440233,0.1362260941039291,0.334356288015652,0.3139629705792672,0.32848362329494407,0.3676115515504097
lits,BLITS_044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_046,0.6278173602062599,0.6788134007112109,0.19833102882831555,0.6787014228464282,0.46885991017802064,0.5273851432247458,0.6008059592135792
lits,BLITS_047,0.6364462519907503,0.6607060493170126,0.46854760356257485,0.6528533144524765,0.611402227758211,0.6274221912990122,0.6356134344560178
lits,BLITS_048,0.7037775827371295,0.743951426724536,0.7166800879330301,0.7269501265689582,0.7276733162888667,0.7486155130215089,0.7412260740384533
lits,BLITS_049,0.0,0.0,0.0021620205064369247,0.0,0.0,0.0,0.0
lits,BLITS_050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_051,0.0,0.0,0.017301420041146067,0.0,0.0,0.0,0.0
lits,BLITS_052,0.16839309428950863,0.0,0.06419103954430934,0.02810304449648712,0.09088442756375474,0.0,0.032043879907621246
lits,BLITS_053,0.3944661409415038,0.5418740179736796,0.6134226695743948,0.47975100606679555,0.5131170605936168,0.5893691801575347,0.5356523943671369
lits,BLITS_054,0.0,0.0,0.00022583559168925022,0.0,0.0,0.0,0.0
lits,BLITS_055,0.5508331498201571,0.05679413356956543,0.12280266447807914,0.36233927830775614,0.35821950560302707,0.04394243392534245,0.21408055725173575
lits,BLITS_056,0.30128132441319877,0.004514672686230248,6.477313210480292e-05,0.016549715344896066,0.02257127771911299,0.0,0.0
lits,BLITS_057,0.0,0.007027964906581692,0.0018840393356105796,0.0013630220145236295,0.0,0.005861420495566837,0.0013801911077894894
lits,BLITS_058,0.795683534796718,0.7780640222767037,0.6432745068009074,0.7929435235487448,0.7430601861946579,0.7417556711384181,0.7641486460228627
lits,BLITS_059,0.3444121396914484,0.5411234054549299,0.4790718167131737,0.43698705783036174,0.43902713658371806,0.5323931911146131,0.47659475132691176
lits,BLITS_060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_062,0.3644535347638882,0.462034575263181,0.20171363430210465,0.4080390443511434,0.25803002835494815,0.2983583346774916,0.37657175236060225
lits,BLITS_063,0.0,0.18110749185667752,0.02730410357591644,0.0,0.0,0.12834087335964323,0.12751616722834502
lits,BLITS_064,0.0,0.05245973968674167,0.008690669468054628,0.02686139613515227,4.828934978390516e-05,0.02825268377107842,0.011776814993896163
lits,BLITS_065,0.8632866759269152,0.8749378006302869,0.802830451403833,0.8717934745589537,0.8648961360456355,0.8697080441834681,0.8692532445471224
lits,BLITS_066,0.061851311086593155,0.11956268383373106,0.16245347704867735,0.07999049806002059,0.12000522329589972,0.17658302368610182,0.1095915261582496
lits,BLITS_067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lits,BLITS_068,0.1186254511219206,0.1295373665480427,0.5821952453211937,0.1298223350253807,0.224700251640598,0.3199536538939005,0.1675737952405546
lits,BLITS_069,0.852319908558625,0.8342457904367595,0.657257175796416,0.847380803187837,0.8342461404859467,0.8130580238232223,0.8374271241517729
lits,BLITS_070,0.8088453208708537,0.7995266124762528,0.37525739423436916,0.8130398272552783,0.804852405984634,0.8256769266373525,0.8175966898454112
