bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,59205809.0,0.027773699123080857,0.01817715217775337
0.06666666666666667,0.13333333333333333,16214660.0,0.09552564184257964,0.03336992573387293
0.13333333333333333,0.2,8777697.0,0.16420627707171656,0.04389944196068741
0.2,0.26666666666666666,6106342.0,0.23169202974302355,0.05150546759418323
0.26666666666666666,0.3333333333333333,4764500.0,0.2988528184265927,0.058443908070101795
0.3333333333333333,0.4,4000006.0,0.3658401750684629,0.06437765343351985
0.4,0.4666666666666667,3534637.0,0.43278153711719153,0.07106330862263932
0.4666666666666667,0.5333333333333333,3267573.0,0.4996651413115774,0.07961138129125195
0.5333333333333333,0.6,3139857.0,0.5665603684831787,0.0884256830804715
0.6,0.6666666666666666,3129717.0,0.633431455176565,0.0994230468761233
0.6666666666666666,0.7333333333333333,3270951.0,0.7003871552240581,0.11186379740937727
0.7333333333333333,0.8,3585479.0,0.7673173321271747,0.12864334165672145
0.8,0.8666666666666667,4197013.0,0.8344506443012788,0.15018824101807643
0.8666666666666667,0.9333333333333333,5683531.0,0.9024432213850987,0.18495614785949088
0.9333333333333333,1.0,19671578.0,0.9811211936381442,0.5195087552203489
