bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,571326.0,0.026197010531470104,0.18595162831728296
0.06666666666666667,0.13333333333333333,104869.0,0.09412328566082043,0.3859863257969467
0.13333333333333333,0.2,49030.0,0.16399526162042244,0.5182745258005302
0.2,0.26666666666666666,34234.0,0.2320624972987051,0.5385873692820003
0.26666666666666666,0.3333333333333333,26852.0,0.2989835048772247,0.5673320423059734
0.3333333333333333,0.4,22236.0,0.3658925287759246,0.6119805720453318
0.4,0.4666666666666667,19930.0,0.43261120179252177,0.6499749121926743
0.4666666666666667,0.5333333333333333,17377.0,0.499089680729139,0.7235426137998504
0.5333333333333333,0.6,16209.0,0.566792371701956,0.8113393793571473
0.6,0.6666666666666666,17152.0,0.6341458510107069,0.8332555970149254
0.6666666666666666,0.7333333333333333,18459.0,0.7001815515896423,0.8444119399750799
0.7333333333333333,0.8,20641.0,0.7679521837996152,0.8508793178625067
0.8,0.8666666666666667,26503.0,0.8348967877958413,0.8740142625363166
0.8666666666666667,0.9333333333333333,41247.0,0.9035674455810536,0.8948044706281669
0.9333333333333333,1.0,401345.0,0.9891708589612715,0.9795338175385268
