bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,227041.0,0.026731040128858734,0.3240868389409842
0.06666666666666667,0.13333333333333333,57400.0,0.09574569387199156,0.45670731707317075
0.13333333333333333,0.2,32527.0,0.16460403027717585,0.5092384788022258
0.2,0.26666666666666666,24204.0,0.23179026197939445,0.5443728309370351
0.26666666666666666,0.3333333333333333,19472.0,0.2992756440102956,0.5726684470008216
0.3333333333333333,0.4,17258.0,0.366299569779468,0.6036620697647468
0.4,0.4666666666666667,16265.0,0.433055461865735,0.619797110359668
0.4666666666666667,0.5333333333333333,15950.0,0.4999378293322919,0.6466457680250783
0.5333333333333333,0.6,15839.0,0.5665094868328032,0.6586274386009218
0.6,0.6666666666666666,15643.0,0.6336267006059654,0.6765965607620021
0.6666666666666666,0.7333333333333333,16871.0,0.7004929550328157,0.6828877956256297
0.7333333333333333,0.8,18953.0,0.7676354153882241,0.6999947237904289
0.8,0.8666666666666667,24156.0,0.835071802608105,0.7370425567146879
0.8666666666666667,0.9333333333333333,39557.0,0.9032714694657774,0.8132568192734535
0.9333333333333333,1.0,353715.0,0.9897423696826655,0.9765630521747735
