bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,12758258.0,0.027859967443291393,0.07108501803302614
0.06666666666666667,0.13333333333333333,3592267.0,0.09581826782060941,0.10880009754286082
0.13333333333333333,0.2,2052079.0,0.1644556614204712,0.13095012423985627
0.2,0.26666666666666666,1459601.0,0.23174510477365748,0.14629066436649468
0.26666666666666666,0.3333333333333333,1180219.0,0.29921486722047796,0.1619707867777082
0.3333333333333333,0.4,1056445.0,0.36611364773330063,0.1790826782274515
0.4,0.4666666666666667,975928.0,0.43299320320017126,0.19266995106196358
0.4666666666666667,0.5333333333333333,938202.0,0.49983129538138493,0.20071796905144096
0.5333333333333333,0.6,928631.0,0.5667851905411063,0.2117148792146719
0.6,0.6666666666666666,977588.0,0.6337221631463453,0.22016023109939975
0.6666666666666666,0.7333333333333333,1061557.0,0.7006065768307457,0.23373215003998843
0.7333333333333333,0.8,1226661.0,0.7677409989390638,0.25291665749542863
0.8,0.8666666666666667,1564474.0,0.8350211827047268,0.27711869932002703
0.8666666666666667,0.9333333333333333,2469628.0,0.9035488223516361,0.3292827907684882
0.9333333333333333,1.0,15829244.0,0.9861583794124393,0.6887468536084225
