bin_lo,bin_hi,n,conf,acc
0.0,0.06666666666666667,3138592.0,0.02835543752399799,0.05972773778815469
0.06666666666666667,0.13333333333333333,981246.0,0.09594290861671782,0.05693577349614674
0.13333333333333333,0.2,572446.0,0.1646793157539369,0.059432680113058696
0.2,0.26666666666666666,432481.0,0.2320638990900497,0.06067781012345051
0.26666666666666666,0.3333333333333333,357247.0,0.2991455322561822,0.060817865510417166
0.3333333333333333,0.4,314883.0,0.3661748472963633,0.05972059463356231
0.4,0.4666666666666667,296416.0,0.433208191847266,0.059298418438950666
0.4666666666666667,0.5333333333333333,293801.0,0.5000079907569083,0.057140717696672234
0.5333333333333333,0.6,287718.0,0.5663274920811484,0.05928026748413377
0.6,0.6666666666666666,265227.0,0.632703666338868,0.0671462558487635
0.6666666666666666,0.7333333333333333,235430.0,0.699310876427372,0.08766937093828314
0.7333333333333333,0.8,214309.0,0.7662340276576465,0.11746123587903448
0.8,0.8666666666666667,205601.0,0.8333661164469922,0.16568985559408758
0.8666666666666667,0.9333333333333333,219621.0,0.9006027465081672,0.25588627681323733
0.9333333333333333,1.0,602117.0,0.9837477771396503,0.7401601349903756
